id,user_id,kind,payload,ts
3034,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1F2kN0WnfYIJk-WNi-GYy87kV4ZMQAAI3iwACAflpSAe19yJzYpT9NgQ"", ""file_size"": 103338, ""duration"": 51, ""caption"": null}",2025-11-07 11:00:58.009788
3039,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1HGkN0WnVT_A1iOvEhJVMZFxZLXYgAAI9iwACAflpSO2qRGxnZA1tNgQ"", ""file_size"": 27476, ""duration"": 13, ""caption"": null}",2025-11-07 11:00:58.039068
3043,252,message_video,"{""chat_id"": 5923335859, ""file_id"": ""BAACAgIAAxkBAAI1PmkN0w_gS7erji3IwVCzu1-twkatAALTiQACNxdwSAQL0ShNsbklNgQ"", ""file_size"": 374898128, ""caption"": null}",2025-11-07 11:07:59.722219
3050,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1UmkN16BN0vfzUh5sdmZsxQABStfLTQACsIsAAgH5aUiY7k_2SfRDzzYE"", ""file_size"": 416272, ""duration"": 208, ""caption"": null}",2025-11-07 11:27:28.974028
3052,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1XWkN19ev4cE8rflYDfI3Fik0H--_AAK6iwACAflpSGVXq4FtYNJ5NgQ"", ""file_size"": 13952, ""duration"": 6, ""caption"": null}",2025-11-07 11:28:23.942931
3055,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1aWkN2AIoXdJS8p_GpPriAx3cwOKMAALBiwACAflpSFq7SyWchF2jNgQ"", ""file_size"": 273581, ""duration"": 136, ""caption"": null}",2025-11-07 11:29:06.517556
3065,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1jmkN2IK066hJ1SlyaEhqpUiKFCL4AALiiwACAflpSH1pMq9OptcDNgQ"", ""file_size"": 392970, ""duration"": 196, ""caption"": null}",2025-11-07 11:31:14.432134
3067,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1mWkN2LCHvptNyS_cKUsjk45Nkoa9AALsiwACAflpSNSmr4cZmOd7NgQ"", ""file_size"": 91483, ""duration"": 45, ""caption"": null}",2025-11-07 11:32:00.304152
3070,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1pWkN2M_1qh8ZYTM-0ososBTOMr32AAL2iwACAflpSAVqTv6jtZPgNgQ"", ""file_size"": 110477, ""duration"": 55, ""caption"": null}",2025-11-07 11:32:31.451819
3398,133,miniapp_note_created,"{""note_id"": 624, ""has_content"": true, ""status"": ""in_progress"", ""tags"": []}",2025-11-11 10:09:54.926386
